球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
清晨,一,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,一,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,一,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
早安,一,0700-0930,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,一,0700-1000,大智羽球館,401台中市東區大振街33號,,,,,,,
晨光,一,0730-1000,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
賴興里晨間羽球隊,一,0830-1100,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
佛雷斯早安,一,0830-1130,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
GXS早安,一,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
早安,一,0900-1200,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
羽樂,一,0900-1200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
南屯羽球笑隊,一,0900-1200,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
龍流連,一,0900-1200,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
陽光,一,0900-1230,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
大新,一,0930-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
飛龍,一,0930-1230,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
煞之人,一,1000-1200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
金敖啪,一,1000-1300,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
南屯羽球笑隊,一,1400-1700,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
歡樂,一,1400-1700,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
羽神同行,一,1500-1700,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
米提爾活力羽球隊,一,1500-1800,大都會經貿館,406台中市北屯區中平路1101巷15號,,,,,,,
阿欣狗狗,一,1600-1800,大都會永春館,408台中市南屯區文心南五路三段392巷31號,,,,,,,
羽我為伍,一,1800-2000,北區國民運動中心,404台中市北區崇德路一段55號,,,,,,,
邦尼,一,1800-2000,傳羽運動館,408台中市南屯區永春東三路477號,,,,,,,
照明,一,1800-2000,國光羽球館,412台中市大里區大明路407號,,,200,200,,2020/7/2,
聯合,一,1800-2000,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
如羽得水,一,1830-2030,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
山不五石,一,1830-2100,優漾複合運動會館,407台中市西屯區福科路207號,,,,,,,
